,Date,AQI,Sample_Duration,Pollutant_Type
175,2017-07-15,12,24-HR BLK AVG,81102
176,2017-07-16,15,24-HR BLK AVG,81102
177,2017-07-17,24,24-HR BLK AVG,81102
178,2017-07-18,33,24-HR BLK AVG,81102
179,2017-07-19,15,24-HR BLK AVG,81102
180,2017-07-20,17,24-HR BLK AVG,81102
181,2017-07-21,12,24-HR BLK AVG,81102
182,2017-07-22,14,24-HR BLK AVG,81102
183,2017-07-23,10,24-HR BLK AVG,81102
184,2017-07-24,16,24-HR BLK AVG,81102
185,2017-07-25,14,24-HR BLK AVG,81102
186,2017-07-26,13,24-HR BLK AVG,81102
187,2017-07-27,7,24-HR BLK AVG,81102
188,2017-07-28,15,24-HR BLK AVG,81102
189,2017-07-29,15,24-HR BLK AVG,81102
190,2017-07-30,13,24-HR BLK AVG,81102
191,2017-07-31,18,24-HR BLK AVG,81102
192,2017-08-01,19,24-HR BLK AVG,81102
193,2017-08-02,6,24-HR BLK AVG,81102
194,2017-08-03,7,24-HR BLK AVG,81102
195,2017-08-04,11,24-HR BLK AVG,81102
196,2017-08-05,9,24-HR BLK AVG,81102
197,2017-08-06,12,24-HR BLK AVG,81102
198,2017-08-07,17,24-HR BLK AVG,81102
199,2017-08-08,13,24-HR BLK AVG,81102
200,2017-08-09,6,24-HR BLK AVG,81102
201,2017-08-10,8,24-HR BLK AVG,81102
202,2017-08-11,10,24-HR BLK AVG,81102
203,2017-08-12,6,24-HR BLK AVG,81102
204,2017-08-13,10,24-HR BLK AVG,81102
205,2017-08-14,12,24-HR BLK AVG,81102
206,2017-08-15,6,24-HR BLK AVG,81102
207,2017-08-16,18,24-HR BLK AVG,81102
208,2017-08-17,30,24-HR BLK AVG,81102
209,2017-08-18,28,24-HR BLK AVG,81102
210,2017-08-19,39,24-HR BLK AVG,81102
211,2017-08-20,26,24-HR BLK AVG,81102
212,2017-08-21,44,24-HR BLK AVG,81102
213,2017-08-22,41,24-HR BLK AVG,81102
214,2017-08-23,25,24-HR BLK AVG,81102
215,2017-08-24,20,24-HR BLK AVG,81102
216,2017-08-25,15,24-HR BLK AVG,81102
217,2017-08-26,12,24-HR BLK AVG,81102
218,2017-08-27,22,24-HR BLK AVG,81102
219,2017-08-28,22,24-HR BLK AVG,81102
220,2017-08-29,32,24-HR BLK AVG,81102
221,2017-08-30,33,24-HR BLK AVG,81102
222,2017-08-31,29,24-HR BLK AVG,81102
223,2017-09-01,21,24-HR BLK AVG,81102
224,2017-09-02,22,24-HR BLK AVG,81102
225,2017-09-03,28,24-HR BLK AVG,81102
226,2017-09-04,11,24-HR BLK AVG,81102
227,2017-09-05,10,24-HR BLK AVG,81102
228,2017-09-06,17,24-HR BLK AVG,81102
229,2017-09-07,24,24-HR BLK AVG,81102
230,2017-09-08,21,24-HR BLK AVG,81102
231,2017-09-09,19,24-HR BLK AVG,81102
232,2017-09-10,25,24-HR BLK AVG,81102
233,2017-09-11,23,24-HR BLK AVG,81102
234,2017-09-12,55,24-HR BLK AVG,81102
235,2017-09-13,57,24-HR BLK AVG,81102
236,2017-09-14,25,24-HR BLK AVG,81102
237,2017-09-15,4,24-HR BLK AVG,81102
238,2017-09-16,2,24-HR BLK AVG,81102
239,2017-09-17,3,24-HR BLK AVG,81102
240,2017-09-18,5,24-HR BLK AVG,81102
241,2017-09-19,7,24-HR BLK AVG,81102
242,2017-09-20,7,24-HR BLK AVG,81102
243,2017-09-21,10,24-HR BLK AVG,81102
244,2017-09-22,6,24-HR BLK AVG,81102
245,2017-09-23,4,24-HR BLK AVG,81102
246,2017-09-24,3,24-HR BLK AVG,81102
247,2017-09-25,4,24-HR BLK AVG,81102
248,2017-09-26,4,24-HR BLK AVG,81102
249,2017-09-27,7,24-HR BLK AVG,81102
250,2017-09-28,9,24-HR BLK AVG,81102
251,2017-09-29,9,24-HR BLK AVG,81102
252,2017-09-30,11,24-HR BLK AVG,81102
253,2017-10-01,7,24-HR BLK AVG,81102
254,2017-10-02,6,24-HR BLK AVG,81102
255,2017-10-03,4,24-HR BLK AVG,81102
256,2017-10-04,4,24-HR BLK AVG,81102
257,2017-10-05,8,24-HR BLK AVG,81102
258,2017-10-06,17,24-HR BLK AVG,81102
259,2017-10-07,17,24-HR BLK AVG,81102
260,2017-10-08,9,24-HR BLK AVG,81102
261,2017-10-09,10,24-HR BLK AVG,81102
262,2017-10-10,15,24-HR BLK AVG,81102
263,2017-10-11,19,24-HR BLK AVG,81102
264,2017-10-12,14,24-HR BLK AVG,81102
265,2017-10-13,12,24-HR BLK AVG,81102
266,2017-10-14,9,24-HR BLK AVG,81102
267,2017-10-15,7,24-HR BLK AVG,81102
268,2017-10-16,12,24-HR BLK AVG,81102
269,2017-10-17,12,24-HR BLK AVG,81102
270,2017-10-18,23,24-HR BLK AVG,81102
271,2017-10-19,22,24-HR BLK AVG,81102
272,2017-10-20,20,24-HR BLK AVG,81102
273,2017-10-21,11,24-HR BLK AVG,81102
274,2017-10-22,6,24-HR BLK AVG,81102
275,2017-10-23,6,24-HR BLK AVG,81102
276,2017-10-24,9,24-HR BLK AVG,81102
277,2017-10-25,15,24-HR BLK AVG,81102
278,2017-10-26,7,24-HR BLK AVG,81102
279,2017-10-27,5,24-HR BLK AVG,81102
280,2017-10-28,10,24-HR BLK AVG,81102
281,2017-10-29,6,24-HR BLK AVG,81102
282,2017-10-30,4,24-HR BLK AVG,81102
283,2017-11-01,7,24-HR BLK AVG,81102
284,2017-11-02,5,24-HR BLK AVG,81102
285,2017-11-03,4,24-HR BLK AVG,81102
286,2017-11-04,3,24-HR BLK AVG,81102
287,2017-11-05,4,24-HR BLK AVG,81102
