,Date,AQI,Sample_Duration,Pollutant_Type
222,2010-02-23,7,1 HOUR,42401
223,2010-02-23,7,1 HOUR,42401
224,2010-02-24,7,1 HOUR,42401
225,2010-02-24,7,1 HOUR,42401
226,2010-02-25,1,1 HOUR,42401
227,2010-02-25,1,1 HOUR,42401
228,2010-02-26,14,1 HOUR,42401
229,2010-02-26,14,1 HOUR,42401
230,2010-02-27,71,1 HOUR,42401
231,2010-02-27,71,1 HOUR,42401
232,2010-02-28,4,1 HOUR,42401
233,2010-02-28,4,1 HOUR,42401
234,2010-03-01,4,1 HOUR,42401
235,2010-03-01,4,1 HOUR,42401
236,2010-03-02,10,1 HOUR,42401
237,2010-03-02,10,1 HOUR,42401
238,2010-03-03,65,1 HOUR,42401
239,2010-03-03,65,1 HOUR,42401
240,2010-03-04,4,1 HOUR,42401
241,2010-03-04,4,1 HOUR,42401
242,2010-03-05,13,1 HOUR,42401
243,2010-03-05,13,1 HOUR,42401
244,2010-03-06,33,1 HOUR,42401
245,2010-03-06,33,1 HOUR,42401
246,2010-03-07,17,1 HOUR,42401
247,2010-03-07,17,1 HOUR,42401
248,2010-03-08,6,1 HOUR,42401
249,2010-03-08,6,1 HOUR,42401
250,2010-03-09,0,1 HOUR,42401
251,2010-03-09,0,1 HOUR,42401
252,2010-03-10,44,1 HOUR,42401
253,2010-03-10,44,1 HOUR,42401
254,2010-03-11,17,1 HOUR,42401
255,2010-03-11,17,1 HOUR,42401
256,2010-03-12,11,1 HOUR,42401
257,2010-03-12,11,1 HOUR,42401
258,2010-03-13,34,1 HOUR,42401
259,2010-03-13,34,1 HOUR,42401
260,2010-03-14,10,1 HOUR,42401
261,2010-03-14,10,1 HOUR,42401
262,2010-03-15,3,1 HOUR,42401
263,2010-03-15,3,1 HOUR,42401
264,2010-03-16,1,1 HOUR,42401
265,2010-03-16,1,1 HOUR,42401
266,2010-03-17,0,1 HOUR,42401
267,2010-03-17,0,1 HOUR,42401
268,2010-03-18,1,1 HOUR,42401
269,2010-03-18,1,1 HOUR,42401
270,2010-03-19,1,1 HOUR,42401
271,2010-03-19,1,1 HOUR,42401
272,2010-03-20,0,1 HOUR,42401
273,2010-03-20,0,1 HOUR,42401
274,2010-03-21,1,1 HOUR,42401
275,2010-03-21,1,1 HOUR,42401
276,2010-03-22,1,1 HOUR,42401
277,2010-03-22,1,1 HOUR,42401
278,2010-03-23,0,1 HOUR,42401
279,2010-03-23,0,1 HOUR,42401
280,2010-03-24,1,1 HOUR,42401
281,2010-03-24,1,1 HOUR,42401
282,2010-03-25,1,1 HOUR,42401
283,2010-03-25,1,1 HOUR,42401
284,2010-03-26,3,1 HOUR,42401
285,2010-03-26,3,1 HOUR,42401
286,2010-03-27,3,1 HOUR,42401
287,2010-03-27,3,1 HOUR,42401
288,2010-03-28,7,1 HOUR,42401
289,2010-03-28,7,1 HOUR,42401
290,2010-03-29,16,1 HOUR,42401
291,2010-03-29,16,1 HOUR,42401
292,2010-03-30,1,1 HOUR,42401
293,2010-03-30,1,1 HOUR,42401
294,2010-03-31,1,1 HOUR,42401
295,2010-03-31,1,1 HOUR,42401
296,2010-01-01,12,1 HOUR,42602
297,2010-01-01,12,1 HOUR,42602
298,2010-01-02,8,1 HOUR,42602
299,2010-01-02,8,1 HOUR,42602
300,2010-01-03,3,1 HOUR,42602
301,2010-01-03,3,1 HOUR,42602
302,2010-01-04,10,1 HOUR,42602
303,2010-01-04,10,1 HOUR,42602
304,2010-01-05,6,1 HOUR,42602
305,2010-01-05,6,1 HOUR,42602
306,2010-01-06,5,1 HOUR,42602
307,2010-01-06,5,1 HOUR,42602
308,2010-01-07,8,1 HOUR,42602
309,2010-01-07,8,1 HOUR,42602
310,2010-01-08,4,1 HOUR,42602
311,2010-01-08,4,1 HOUR,42602
312,2010-01-09,3,1 HOUR,42602
313,2010-01-09,3,1 HOUR,42602
314,2010-01-10,6,1 HOUR,42602
315,2010-01-10,6,1 HOUR,42602
316,2010-01-11,8,1 HOUR,42602
317,2010-01-11,8,1 HOUR,42602
